Ancient Greek Prose Data,,,,,,,,,,,,,,,,,,,,,,,,,
Data: https://github.com/timgianitsos/tesserae/tree/master/texts/grc,,Project: https://www.qcrit.org,Author: Tim Gianitsos (tgianitsos@yahoo.com),Repo (Private): https://github.com/jdexter476/ProseVerseClassification.git,Code commit: 4885e29884e47634bf60aa238a0b62b2166db3a3,Corpus commit: dcfed9d7d6909c46cdfa0d1a9b90e33c1612b944,Note: Frequencies are per-character,,,,,,,,,,,,,,,,,,
plutarch.an_vitiositas_ad_infelicitatem_sufficia.tess,philosophy,0.00228385,0.00342577,0,0.00081566,0.07079935,0.00619902,0.00342577,0.00387668,0.32352941,0.00130506,0.00244698,0.00163132,0.00391517,0,0.00375204,0,0.00146819,0.00097879,74.4,180.294118,0.18181818,1.26470588,0.18181818,22838.5606
plutarch.animine_an_corporis_affectiones_sint_piores.tess,philosophy,0.00121739,0.00973913,0,0.00052174,0.05669565,0.00852174,0.00121739,0.00109577,0.18518519,0.01043478,0.00434783,0.00086957,0.00573913,0.00208696,0.00191304,0.11111111,0.00104348,0.00104348,31.5,212.962963,0.18181818,1.92307692,0.36363636,13688.5542
plutarch.antony.tess,history,0.00210485,0.01895124,0.00087702,0.00086939,0.0596678,0.01580922,0.00208197,0.00209205,0.00578871,0.0085414,0.00147949,0.00050333,0.0030505,0.00424782,0.00188368,0.01881331,0.0029056,0.00086939,48.8666667,189.762663,0.16837482,1.91606368,0.19326501,12549.5124
plutarch.apophthegmata_laconica.tess,miscellaneous,0.00412936,0.02357799,0.00046001,0.00315586,0.04155033,0.01015223,0.00474983,0.00491621,0.10420475,0.00427913,0.00748847,0.00226794,0.00225724,0.00213956,0.0034126,0.0786106,0.00263166,0.00044931,39,170.890311,0.11713666,1.71766849,0.13449024,11200.4158
plutarch.aquane_an_ignis_sit_utilior.tess,philosophy,0.00414019,0.00481417,0,0.00182939,0.06585789,0.01203543,0.00327364,0.0033393,0.23333333,0.01039861,0.00356249,0,0.00298479,0.01088003,0.00385134,0.01666667,0.00375505,0.0034662,47.125,173.1,0.19565217,2.28333333,0.2173913,13929.7233
plutarch.aratus.tess,history,0.00356636,0.01723741,0.00073996,0.00081274,0.05877215,0.0128947,0.00150418,0.00147927,0.02,0.00718124,0.00089766,0.00036391,0.00281427,0.00265657,0.0023897,0.01333333,0.00302049,0.00131009,54.9090909,274.79,0.2559727,2.49501661,0.29351536,24791.5326
plutarch.aristides.tess,history,0.00366735,0.01273096,0.0011526,0.00099542,0.05155251,0.01318501,0.00150187,0.00151419,0.00829876,0.007195,0.0022528,0.00062869,0.00171143,0.00579791,0.00199085,0.02489627,0.00351018,0.00052391,52.4142857,237.60166,0.21757322,2.0746888,0.28870293,21943.2189
plutarch.artaxerxes.tess,history,0.00356531,0.01847657,0.00047275,0.00084701,0.06421494,0.01692044,0.0009258,0.00095406,0.01895735,0.00843067,0.00238344,0.00082731,0.00238344,0.00358501,0.00263951,0.06161137,0.00348652,0.00165462,48.8367347,240.601896,0.215,2.67298578,0.235,23431.7467
plutarch.bruta_animalia_ratione_uti.tess,philosophy,0.00430608,0.00645911,0.00064591,0.00206692,0.06480644,0.01558799,0.00254058,0.0020925,0.21917808,0.00602851,0.01489902,0.00073203,0.00215304,0.00512423,0.00193773,0.10273973,0.00310037,0.00025836,66.7727273,159.061644,0.15044248,1.44217687,0.16814159,22055.8935
plutarch.brutus.tess,history,0.00272568,0.01636616,0.0013146,0.00071157,0.0536453,0.01319424,0.00246035,0.00248429,0.01595745,0.00820117,0.0025689,0.00054272,0.00455889,0.00209853,0.00170054,0.03723404,0.0031478,0.00072363,50.8,220.518617,0.21944444,2.21276596,0.26388889,18045.239
plutarch.caesar.tess,history,0.00299178,0.0174624,0.0007546,0.00074573,0.05407397,0.01363612,0.00176666,0.0016138,0.02077922,0.00841604,0.00078124,0.00046164,0.00399496,0.00480283,0.00192646,0.02077922,0.00351556,0.00133165,56.1269841,292.576623,0.25405405,2.75844156,0.34054054,37235.3143
plutarch.caius_gracchus.tess,history,0.00350208,0.01803051,0.00072816,0.00062413,0.05918863,0.01920943,0.00249653,0.00255111,0.03669725,0.00873786,0.00121359,0.00097087,0.00305132,0.0045423,0.00176838,0.00917431,0.00436893,0.00083218,56.2272727,264.587156,0.19417476,2.49541284,0.21359223,34347.1415
plutarch.caius_marcius_coriolanus.tess,history,0.00364411,0.01463821,0.00121985,0.00151323,0.05927859,0.0123066,0.0011272,0.0010095,0.0203252,0.00623823,0.00491029,0.00055588,0.00205367,0.00526543,0.00228529,0.04471545,0.00287205,0.00046323,43.5,263.260163,0.28033473,2.33333333,0.32635983,29412.7372
plutarch.caius_marius.tess,history,0.00219641,0.01647862,0.00082505,0.00045712,0.05520002,0.01415957,0.00196227,0.00198859,0.01453488,0.00691255,0.00101458,0.00026758,0.00316639,0.00469384,0.00196227,0.01162791,0.00351202,0.00073585,61.9425287,260.732558,0.21130952,2.26744186,0.25,27461.9808
plutarch.camillus.tess,history,0.004238,0.01323401,0.000962,0.000715,0.05387205,0.01430001,0.001417,0.00141883,0,0.00759201,0.000988,0.000312,0.00273,0.00338,0.001482,0.00361011,0.003042,0.001326,59.2361111,277.700361,0.22181818,2.5323741,0.26181818,33051.9066
plutarch.cato_minor.tess,history,0.00323247,0.01778723,0.00093344,0.00126187,0.0618145,0.01399296,0.00181502,0.00179763,0.03241895,0.00712181,0.00173724,0.00079515,0.00337076,0.00208296,0.00171131,0.02992519,0.00337076,0.00150388,53.5255474,288.531172,0.26315789,2.79301746,0.33947368,43197.6605
plutarch.cicero.tess,history,0.00272427,0.02003423,0.00102461,0.00051833,0.05112225,0.01304274,0.00213361,0.00210763,0.00289017,0.00694327,0.00119337,0.00034957,0.00174787,0.00342342,0.0023988,0.01445087,0.0035078,0.00144652,52.7349398,239.763006,0.2012012,2.29479769,0.24624625,26309.7762
plutarch.cimon.tess,history,0.00197749,0.01728473,0.00117185,0.00051268,0.05014526,0.01005835,0.00214839,0.00216354,0.01162791,0.00712873,0.00107419,0.00065916,0.00158688,0.002539,0.00222163,0.01744186,0.00314934,0.0007324,50.3414634,238.145349,0.22352941,2.11627907,0.24117647,21315.5196
plutarch.cleomenes.tess,history,0.00241588,0.01759461,0.00092185,0.00068344,0.05755201,0.01309662,0.00144635,0.00149249,0.03738318,0.00718407,0.0015735,0.00117615,0.00363972,0.00424369,0.00267018,0.03271028,0.00290859,0.00143046,48.4081633,294.004673,0.19306931,2.58878505,0.22277228,52365.799
plutarch.comparationis_aristophanes_et_menandri_compendium.tess,miscellaneous,0,0.00704371,0,0.00227885,0.07830951,0.01429459,0.00165734,0.00083705,0.28571429,0.00662938,0.00248602,0,0.00331469,0.00227885,0.00227885,0.04761905,0.00124301,0.00248602,39.6,229.857143,0.2,1.57142857,0.2,16129.0748
plutarch.comparison_aegisalius_pompey.tess,history,0.00470527,0.00653509,0,0.00196053,0.05476408,0.01097896,0.00091491,0.00099474,0.05263158,0.00941053,0.00039211,0.00222193,0.00418246,0.00640439,0,0,0.00156842,0,46.625,402.684211,0.77777778,4.22222222,1.27777778,40806.1108
plutarch.comparison_agis_cleomenes_gracchi.tess,history,0.00509091,0.00407273,0,0.00130909,0.05469091,0.01367273,0.00334545,0.00355762,0.1,0.01396364,0.00087273,0.00072727,0.00247273,0.01149091,0.00247273,0,0.00043636,0.00087273,58.7142857,343.75,0.44444444,4.35,0.77777778,87267.1875
plutarch.comparison_alcibiades_coriolanus.tess,history,0.00187819,0.00858599,0.00281728,0.00160987,0.06721224,0.00925677,0.00160987,0.00160987,0,0.00965924,0,0.00160987,0.00107325,0.00509793,0.00228065,0,0.00321975,0,52.2857143,298.16,0.24,2.96,0.28,34786.3744
plutarch.comparison_aristides_cato.tess,history,0.00147551,0.01052528,0,0.00118041,0.06285658,0.01239426,0.00147551,0.0015,0.06896552,0.01180405,0.00196734,0.0005902,0.00314775,0.01082038,0.00098367,0,0.00354122,0,47.2857143,350.551724,0.44444444,3.34482759,0.51851852,57619.0749
plutarch.comparison_demetrius_antony.tess,history,0.00258858,0.01472254,0.00129429,0.00048536,0.06050801,0.00744216,0.00097072,0.00097072,0,0.0116486,0,0,0.00760395,0.00226501,0.00177965,0,0.00194143,0.00388287,46.125,237.730769,0.26923077,2.69230769,0.30769231,17352.5044
plutarch.comparison_of_demosthenes_with_cicero.tess,history,0,0.01134021,0,0.00088365,0.06259205,0.00868925,0.00382916,0.00382916,0,0.01119293,0.00044183,0,0.00353461,0.00220913,0.00162003,0.05263158,0.0017673,0.00088365,72.8571429,357.368421,0.21052632,3.89473684,0.36842105,46345.6011
plutarch.comparison_of_dion_and_brutus.tess,history,0,0.01201811,0,0.00093648,0.0572811,0.01014515,0.00093648,0.00096231,0.03846154,0.01061339,0,0,0.0037459,0.00171687,0,0,0.00421414,0.00093648,42.6666667,246.423077,0.29166667,2.38461538,0.375,19676.7825
plutarch.comparison_of_lucullus_and_cimon.tess,history,0.00206978,0.00842697,0.00103489,0.0017741,0.0583974,0.00680071,0.00236546,0.00236546,0,0.01241869,0.00044352,0,0.0035482,0.00798344,0.00088705,0,0.00221762,0.0017741,45.3846154,260.153846,0.26923077,2.80769231,0.5,23562.1302
plutarch.comparison_of_lycurgus_and_numa.tess,history,0.0048776,0.00736241,0.0009203,0.00110436,0.07095527,0.00717835,0.00174857,0.00140661,0.08571429,0.0088349,0.00165654,0.00156451,0,0.00635008,0.00110436,0,0.00220872,0.00165654,52.7142857,310.457143,0.19354839,2.77142857,0.19354839,37909.4482
plutarch.comparison_of_lysander_sulla.tess,history,0.00340216,0.01243548,0,0.00199437,0.06886438,0.00809479,0.00175974,0.00190646,0.06666667,0.00985453,0.00093853,0.00058658,0.00563116,0.00703895,0.00129047,0.03333333,0.00246363,0.00211168,58.5555556,284.133333,0.21428571,3,0.28571429,55387.0489
plutarch.comparison_of_nicias_and_crassus.tess,history,0,0.00928903,0,0.00226271,0.06514231,0.01167083,0.00095272,0.00097312,0.04,0.00809813,0.00202453,0.00059545,0.00476361,0.00345361,0.00202453,0,0.00250089,0.00142908,40.25,335.88,0.20833333,3.28,0.33333333,42940.4256
plutarch.comparison_of_pelopidas_and_marcellus.tess,history,0.00124978,0.0076772,0,0.00160686,0.06748795,0.01999643,0.00249955,0.00249955,0,0.01071237,0.00232101,0,0.00321371,0.00499911,0.00107124,0,0.00214247,0.00107124,48.375,311.166667,0.33333333,3.44444444,0.44444444,23204.1389
plutarch.comparison_of_pericles_and_fabius_maximus.tess,history,0.00279553,0.00858626,0,0.00059904,0.06649361,0.01257987,0.00139776,0.00139776,0,0.00878594,0,0,0.00319489,0.00778754,0.00239617,0,0.00179712,0.00119808,47.25,250.4,0.2,2.75,0.2,30103.54
plutarch.comparison_of_philopoemen_and_titus.tess,history,0,0.01341922,0,0.00080515,0.06736447,0.00563607,0.00161031,0.00161031,0,0.02039721,0,0,0.00429415,0.01502952,0.00429415,0,0.00080515,0.00322061,21,186.3,0.15,2.61904762,0.15,7320.11
plutarch.comparison_of_sertorius_and_eumenes.tess,history,0.00265051,0.01060204,0,0,0.06626278,0.00227187,0,0,0,0.0272624,0,0,0,0,0,0,0,0,52.25,188.642857,0.28571429,3.5,0.28571429,11807.0867
plutarch.comparison_of_solon_and_publicola.tess,history,0,0.00998284,0,0.00187178,0.06457651,0.01357043,0.0017158,0.00144277,0.04166667,0.0112307,0.00249571,0.00093589,0.00124786,0.01060677,0,0,0.00233973,0,54.1538462,267.125,0.43478261,2.58333333,0.56521739,25999.3594
plutarch.comparison_of_theseus_and_romulus.tess,history,0.00342466,0.00811771,0.00304414,0.00152207,0.06456114,0.01712329,0.00329782,0.00329782,0,0.0116692,0.00076104,0,0.00304414,0.00317098,0.00202943,0,0.00076104,0.00076104,54.1111111,358.363636,0.36363636,4,0.40909091,137185.959
plutarch.comparison_of_timoleon_and_aemilius.tess,history,0,0.0020558,0,0.00088106,0.07988253,0.00646109,0.00293686,0.0030012,0.07692308,0.00939794,0,0,0.00234949,0,0.00176211,0,0.00264317,0,49.375,261.923077,0.5,2.76923077,0.66666667,68404.3787
plutarch.conjugalia_praecepta.tess,philosophy,0.00086546,0.01302124,0,0.00106216,0.06093627,0.01211644,0.00196696,0.00198456,0.07874016,0.00535012,0.00318647,0.00208497,0.00479937,0.00129819,0.00165224,0.02362205,0.00259638,0.00047207,66.9375,200.15748,0.13157895,1.8515625,0.13157895,13179.1878
plutarch.consolatio_ad_apollonium.tess,philosophy,0.00406256,0.01263356,0.00061103,0.00383135,0.05172328,0.01568874,0.00312123,0.0029009,0.17159763,0.00541674,0.00870312,0.00054498,0.00384787,0.00819117,0.00280746,0.02366864,0.002279,0.00118904,48.1060606,179.150888,0.18214286,1.84866469,0.22142857,23619.8618
plutarch.consolatio_ad_uxorem.tess,philosophy,0.00623413,0.01393058,0,0.00177018,0.06911414,0.01870238,0.00177018,0.00156087,0.14285714,0.00708074,0.00985146,0.00046179,0.00615716,0.00269376,0.00354037,0.03174603,0.00277072,0,42.15,206.238095,0.24074074,1.76190476,0.31481481,15041.6735
plutarch.crassus.tess,history,0.00317664,0.01738791,0.00150472,0.00076629,0.0567197,0.01290161,0.00171371,0.00174758,0.02573529,0.00780227,0.00117034,0.00041798,0.00246607,0.00314877,0.00158832,0.02573529,0.00280046,0.00083596,52.675,263.875,0.27480916,2.65808824,0.30152672,34688.6682
plutarch.de_alexandri_magni_fortuna_aut_virtute.tess,philosophy,0.00272564,0.01158824,0.00023999,0.00207423,0.05998114,0.01021685,0.00167995,0.00179031,0.27898551,0.00637696,0.00322277,0.00059998,0.00305134,0.00356561,0.00152567,0.02536232,0.00226279,0.00071998,53.877193,211.358696,0.16836735,1.96028881,0.20918367,28112.0489
plutarch.de_amicorum_multitudine.tess,philosophy,0.00384193,0.00611573,0,0.00023522,0.0705661,0.00658617,0.00133292,0.00126594,0.16,0.00439078,0.00384193,0,0.00219539,0.00086247,0.00125451,0.02,0.00188176,0.00047044,54.3571429,255.08,0.16666667,2.2,0.30952381,45132.1936
plutarch.de_amore_prolis.tess,philosophy,0.00315542,0.00543807,0.00167842,0.0012756,0.0667338,0.01087613,0.00134273,0.00129524,0.19402985,0.00429674,0.00208124,0.00033568,0.00342397,0.0027526,0.00161128,0.02985075,0.00362538,0.00040282,59.4166667,222.313433,0.16666667,1.62686567,0.18518519,20739.5883
plutarch.de_animae_procreatione_in_timaeo.tess,philosophy,0.00149435,0.00974646,0.0004151,0.00099623,0.06661464,0.01745065,0.00114567,0.00115368,0.07555556,0.01135703,0.0013117,0.00054793,0.00199246,0.00330417,0.00205888,0,0.00264001,0.00059774,66.9764706,267.675556,0.28365385,3.32,0.37019231,32665.037
plutarch.de_capienda_ex_inimicis_utilitate.tess,philosophy,0.00192799,0.00910975,0.0002892,0.00187979,0.06637104,0.00930255,0.00265099,0.00278932,0.17171717,0.00462718,0.00544657,0.00110859,0.00554297,0.00669976,0.00260279,0.02020202,0.00245819,0.0005784,46.2,209.565657,0.14634146,1.78787879,0.19512195,21011.3366
plutarch.de_cohibenda_ira.tess,philosophy,0.00142688,0.00880358,0.00091536,0.002423,0.06474801,0.00621904,0.00226147,0.00226386,0.09815951,0.00441525,0.00621904,0.00059229,0.00541137,0.00393065,0.00174995,0.04907975,0.00371527,0.00080767,60.8108108,227.877301,0.18055556,2.05454545,0.22916667,22742.5862
plutarch.de_communibus_notitiis_adversus_stoicos.tess,philosophy,0.00276926,0.01048126,0.00044132,0.00386152,0.06306406,0.01726649,0.00293475,0.00308212,0.28089888,0.00825261,0.00358569,0.00079437,0.00321057,0.00266996,0.00191972,0.0247191,0.0025486,0.00086057,49.1034483,203.680899,0.22257053,2.23370787,0.26959248,26247.269
plutarch.de_cupiditate_divitiarum.tess,philosophy,0.00428992,0.00595467,0,0.00204892,0.07216033,0.01376617,0.00371366,0.00374105,0.28571429,0.00512229,0.00300935,0.00096043,0.00211295,0.00396978,0.00300935,0.05714286,0.00211295,0,50.6666667,223.114286,0.24,1.95714286,0.26,33870.5012
plutarch.de_curiositate.tess,philosophy,0.00134885,0.00959612,0.00077077,0.00254355,0.05915678,0.01036689,0.00531833,0.00518112,0.15384615,0.00400802,0.0028904,0.00146447,0.00674426,0.00512564,0.00184985,0.01709402,0.0021967,0.0006937,52.2727273,221.777778,0.15625,1.59322034,0.21875,25412.4292
plutarch.de_defectu_oraculorum.tess,philosophy,0.00385576,0.00805109,0.00077772,0.00171976,0.06003812,0.01336371,0.00244271,0.00260352,0.13981043,0.00670376,0.00566315,0.00051483,0.0021141,0.00316567,0.00166499,0.04265403,0.00226745,0.0008544,54.3769231,216.331754,0.26944444,2.05660377,0.325,16537.9468
plutarch.de_e_delphos.tess,philosophy,0.00304801,0.00970965,0.00072272,0.0024824,0.06353695,0.01489442,0.00314228,0.00331326,0.15862069,0.00804424,0.00436777,0.00034565,0.00351936,0.00543615,0.00263952,0.0137931,0.00443062,0,52.3555556,219.475862,0.275,2.1369863,0.34166667,29152.5529
plutarch.de_esu_carnium.tess,oratory,0.00055586,0.00509542,0.0014823,0.0014823,0.07828423,0.01676858,0.00426163,0.00575944,0.41025641,0.00407634,0.00796739,0.0023161,0.0014823,0.00565129,0,0.05128205,0.00222346,0,49.1818182,276.769231,0.30434783,2.15384615,0.34782609,52306.3826
plutarch.de_esu_carnium_2.tess,oratory,0.00222743,0.00339977,0.00058617,0.003517,0.06822978,0.00961313,0.0042204,0.00417567,0.25,0.0028136,0.007034,0.00058617,0.00293083,0.0017585,0.0028136,0.05,0.0031653,0,59.2222222,213.25,0.24137931,1.775,0.24137931,30150.0375
plutarch.de_exilio.tess,philosophy,0.00252469,0.0076112,0.00029702,0.00245043,0.05595159,0.01110121,0.0013366,0.00133197,0.25984252,0.00445534,0.00660875,0.00040841,0.00597757,0.00664588,0.0013366,0.03149606,0.00189352,0,52.1707317,212.07874,0.30769231,1.76377953,0.34065934,26346.6552
plutarch.de_faciae_quae_in_orbe_lunae_apparet.tess,philosophy,0.00308816,0.01347777,0.00111317,0.00275301,0.05956072,0.01232869,0.00300437,0.00307269,0.20860927,0.007086,0.0069304,0.00053863,0.00207074,0.00268119,0.00234604,0.06953642,0.00215453,0.00093363,54.5423729,276.639073,0.31330472,2.71947195,0.41630901,43088.8002
plutarch.de_fato.tess,philosophy,0.00342385,0.01294498,0.00173538,0.0022044,0.06111346,0.02284133,0.00619108,0.00619179,0.11607143,0.01275738,0.00839548,0.00201679,0.00145397,0.0043619,0.00192299,0.01785714,0.00605037,0.00028141,48.5263158,190.366071,0.28282828,3.24107143,0.35353535,13523.4285
plutarch.de_fortuna.tess,philosophy,0.00332581,0.00748307,0,0.00285069,0.08730253,0.00985865,0.00130657,0.0015212,0.35,0.00522627,0.00142535,0.00118779,0.00106901,0.00617651,0.00142535,0,0.00320703,0,54.125,210.475,0.15384615,1.95,0.15384615,25779.9494
plutarch.de_fortuna_romanorum.tess,philosophy,0.00115958,0.0120346,0.00040742,0.00115958,0.06741256,0.00959007,0.00159835,0.0018955,0.28476821,0.00752162,0.00235051,0.00050144,0.00253855,0.00676946,0.00137896,0.00662252,0.00347875,0.00037608,59.1481481,211.311258,0.17592593,1.7218543,0.18518519,29159.3667
plutarch.de_fraterno_amore.tess,philosophy,0.00231697,0.01242935,0.0002815,0.00099608,0.07061346,0.01039388,0.00173231,0.00168425,0.2184466,0.00640956,0.00344297,0.00077954,0.0030532,0.00673437,0.00132089,0.01941748,0.00318313,0.00051969,55.0666667,224.179612,0.19375,2.12135922,0.2375,23481.0794
plutarch.de_garrulitate.tess,philosophy,0.00397443,0.01508307,0.00046903,0.00217236,0.04900146,0.01241699,0.00461626,0.00479001,0.08597285,0.00533215,0.00313511,0.00103681,0.0041966,0.0050606,0.00160458,0.03167421,0.00266607,0.00088869,35.95,183.298643,0.15228426,1.65315315,0.18274112,15905.4583
plutarch.de_genio_socratis.tess,philosophy,0.0031513,0.01170664,0.0006581,0.00225274,0.04961083,0.01164336,0.00277163,0.0029158,0.12684366,0.00688477,0.01378219,0.00035436,0.0010884,0.00155667,0.00202493,0.19764012,0.00299943,0.00068341,47.0957447,233.082596,0.23616236,2.24188791,0.29520295,27594.2056
plutarch.de_gloria_atheniensium.tess,philosophy,0.00265858,0.00802893,0.0007444,0.00085075,0.0627426,0.0109002,0.00212687,0.00202667,0.21348315,0.00616792,0.00047855,0.00053172,0.00308396,0.00191418,0.00026586,0,0.00382836,0.00031903,56.6666667,211.314607,0.20289855,1.52222222,0.26086957,24930.7325
plutarch.de_herodoti_malignitate.tess,philosophy,0.00480196,0.01600653,0.00069048,0.00185174,0.04801958,0.01453142,0.00152219,0.00136838,0.20187793,0.00671646,0.00122403,0.00105141,0.00211851,0.00488042,0.00182035,0.02816901,0.00357793,0.0008474,60.6025641,299.173709,0.28823529,2.88262911,0.37058824,44653.4769
plutarch.de_invidia_et_odio.tess,philosophy,0.00088469,0.01282807,0,0.00088469,0.05809496,0.01400767,0.00353878,0.00355661,0.05263158,0.00943674,0.00088469,0,0,0.00176939,0.00162194,0,0.00530817,0.00265408,28.75,178.473684,0.22222222,1.76315789,0.22222222,13760.6704
plutarch.de_iside_et_osiride.tess,philosophy,0.00191668,0.0077041,0.00041138,0.00057968,0.06831781,0.01089233,0.00123415,0.00111712,0.12007874,0.00845207,0.00105651,0.00032724,0.00183253,0.00273944,0.00190733,0.00787402,0.00325367,0.00033659,53.4782609,210.543307,0.21461187,2.14368932,0.26484018,24187.2521
plutarch.de_liberis_educandis.tess,philosophy,0.00227605,0.00838544,0.00093438,0.00194063,0.05313975,0.01713026,0.00182084,0.0017293,0.09386282,0.00852919,0.00323439,0.00136563,0.00203646,0.00481564,0.00277918,0.01083032,0.00230001,0,50.2926829,150.68231,0.14285714,1.7833935,0.15918367,10319.9568
plutarch.de_primo_frigido.tess,philosophy,0.00180274,0.00818871,0.00088609,0.00137497,0.07137619,0.00904424,0.00143608,0.00119159,0.16666667,0.00794427,0.00131386,0.00018333,0.00281105,0.00773038,0.00238328,0.01923077,0.00403324,0.00109998,53.7407407,209.794872,0.15625,2.15923567,0.1640625,20664.8938
plutarch.de_pythiae_oraculis.tess,philosophy,0.00346513,0.00812656,0.00047439,0.00165006,0.06325929,0.00971475,0.00177382,0.00183536,0.16814159,0.0051977,0.00606398,0.00037126,0.00165006,0.0006394,0.00210383,0.08849558,0.00402203,0.00086628,52.6,214.526549,0.23369565,1.85022026,0.24456522,25436.3909
plutarch.de_recta_ratione_audiendi.tess,philosophy,0.00302491,0.00896164,0.00031097,0.00183756,0.06649139,0.00735024,0.00500382,0.00509837,0.13422819,0.00791564,0.00172448,0.00045232,0.00254431,0.00209199,0.00325107,0.02013423,0.00288356,0.00050886,53.25,237.402685,0.14728682,2.2,0.17829457,37052.1868
plutarch.de_se_ipsum_citra_invidiam_laudando.tess,philosophy,0.00281761,0.01072861,0.0006141,0.00166167,0.06747824,0.01267926,0.00433479,0.00448248,0.10077519,0.00549073,0.00516563,0.00144493,0.00838059,0.00296211,0.00278149,0.03100775,0.00314272,0,50.6666667,214.596899,0.14035088,1.93076923,0.16666667,19602.4267
plutarch.de_sera_numinis_vindicta.tess,philosophy,0.0036622,0.01054839,0.00050081,0.00225366,0.06037937,0.01017278,0.00313009,0.00326762,0.12552301,0.00532115,0.00507074,0.00073557,0.00308314,0.00203456,0.00270752,0.0209205,0.00342744,0.00046951,58.8387097,267.34728,0.19512195,2.18333333,0.24878049,39263.5489
plutarch.de_sollertia_animalium.tess,philosophy,0.00272046,0.01061465,0.00086229,0.00074084,0.0596801,0.00929086,0.00177316,0.00175413,0.14199396,0.00626678,0.00361918,0.00138452,0.00408069,0.00399568,0.00389852,0.0694864,0.00211321,0.00145739,56.0865385,248.758308,0.28113879,2.34834835,0.33096085,31881.1198
plutarch.de_stoicorum_repugnantis.tess,philosophy,0.00536664,0.01319869,0.00053542,0.00265219,0.05344224,0.01997236,0.00321251,0.00300784,0.24115756,0.00722192,0.00229109,0.00097122,0.00473161,0.00186774,0.00190509,0.0096463,0.00257748,0.00104593,51.8072289,258.234727,0.23478261,2.64423077,0.29130435,32681.8195
plutarch.de_superstitione.tess,philosophy,0.00142894,0.00558587,0.00103923,0.00108253,0.06668399,0.00892007,0.00220837,0.00200847,0.296,0.00554257,0.00385381,0,0.0032043,0.00588898,0.00043301,0.04,0.00259808,0.00025981,56.3529412,184.752,0.11494253,1.704,0.11494253,20869.2425
plutarch.de_tranquilitate_animi.tess,philosophy,0.00250316,0.00719355,0.00043745,0.00157966,0.06692913,0.01032857,0.00233304,0.00223069,0.17222222,0.00524934,0.00566249,0.00053466,0.00495771,0.00456887,0.00216292,0.03333333,0.00328084,0.00014582,55.2727273,228.6,0.2260274,2.14364641,0.26712329,30825.9622
plutarch.demetrius.tess,history,0.00319423,0.01961508,0.00130306,0.00070342,0.06081712,0.01529077,0.0019027,0.00192112,0.01193317,0.00659602,0.00126846,0.00041513,0.00214486,0.00480863,0.00148756,0.01670644,0.00294053,0.00083027,51.1232877,206.966587,0.15632754,1.90453461,0.18114144,17531.8939
plutarch.epitome_argumenti_stoicos.tess,miscellaneous,0,0.00607112,0,0,0.07834634,0.00202371,0.0008673,0.0010274,0.27272727,0.01040763,0.00375831,0.00173461,0.00231281,0.00578202,0.00173461,0,0.0008673,0,37.5,314.454545,0.25,2.72727273,0.25,43025.3388
plutarch.epitome_libri_de_animae_procreatione.tess,miscellaneous,0.00170693,0.00971639,0.00065651,0.00065651,0.06683298,0.01969538,0.00105042,0.00070185,0.15625,0.00997899,0,0.00144433,0.00420168,0.00144433,0.00446429,0,0.00157563,0,60,238,0.18518519,2.78125,0.18518519,15684.4375
plutarch.fabius_maximus.tess,history,0.00365778,0.01630058,0.00110671,0.00091913,0.05552325,0.01510007,0.00146311,0.00144963,0.01704545,0.00810339,0.00200709,0.00022509,0.00296374,0.00427679,0.00140684,0.04545455,0.00326387,0.00090038,49.6666667,302.903409,0.26162791,2.68181818,0.31395349,38979.2009
plutarch.galba.tess,history,0.00313487,0.01683288,0.00063606,0.00056791,0.05865382,0.01201699,0.00120397,0.00117553,0.03529412,0.00645147,0.00059063,0.0001363,0.0033166,0.00240794,0.00149928,0.01764706,0.00238523,0.00054519,53.5576923,258.947059,0.25925926,2.32941176,0.30864198,28629.0854
plutarch.instituta_laconica.tess,miscellaneous,0.00331155,0.01530475,0.00295355,0.00313255,0.05969749,0.00877114,0.00241654,0.00241654,0,0.00214804,0,0.00456458,0.00295355,0.00107402,0.00152153,0.01666667,0.00241654,0.00053701,71.8571429,186.216667,0.11666667,1.61666667,0.11666667,21729.9031
plutarch.lacaenarum_apophthegmata.tess,miscellaneous,0.01057502,0.02339722,0,0.00370126,0.0397885,0.01387971,0.00475876,0.00428708,0.08928571,0.0010575,0.00740251,0,0.00634501,0.0075347,0.00145406,0.125,0.0031725,0.00079313,39,135.089286,0.08888889,0.78571429,0.11111111,5240.83131
plutarch.lucullus.tess,history,0.0035601,0.01812606,0.00072462,0.00075613,0.05318099,0.01332675,0.00206885,0.00198594,0.00561798,0.00743526,0.00105018,0.00073512,0.00162778,0.00274096,0.00168028,0.01404494,0.00289849,0.00170129,58.212766,267.477528,0.23391813,2.52808989,0.26315789,37965.8057
plutarch.lycurgus.tess,history,0.00310701,0.01355509,0.00123367,0.00097475,0.06256663,0.01136191,0.00298517,0.00289931,0.0037037,0.00633586,0.00111182,0.00132505,0.00135551,0.0054068,0.00092906,0.02962963,0.00388376,0.00228457,56.1492537,243.177778,0.20610687,2.08518519,0.2519084,30114.6128
